transaction_id,timestamp,merchant_id,amount,payment_method,location,device_id,customer_id,transaction_status,fraud_label
TC86A84C599AF,2025-01-01 00:30:50,M0049,4477.18,UPI,Bengaluru,D00541,C00953,SUCCESS,1
T67FE8DD7DA61,2025-01-01 02:04:13,M0054,18655.91,UPI,Delhi,D01903,C03637,SUCCESS,1
TBDBBA8A4EEFB,2025-01-01 03:18:26,M0057,30040.04,Debit Card,Kolkata,D04166,C00197,SUCCESS,1
T73975D250719,2025-01-01 05:10:45,M0053,29019.66,Credit Card,Pune,D02966,C00188,FAILED,1
T8E0B2E43411E,2025-01-01 06:00:56,M0001,2257.33,UPI,Surat,D03101,C00323,SUCCESS,0
T89479B6530AB,2025-01-01 06:02:17,M0001,2104.78,UPI,Surat,D00459,C00939,SUCCESS,0
T1B20CA592E60,2025-01-01 06:03:11,M0014,489.14,UPI,Jaipur,D00722,C01289,SUCCESS,0
T20DA2560F93D,2025-01-01 06:03:22,M0057,2819.13,UPI,Kolkata,D01515,C01520,FAILED,0
T617881CA9C03,2025-01-01 06:03:32,M0001,901.02,Debit Card,Surat,D01402,C02188,SUCCESS,0
TE98BC26592C6,2025-01-01 06:03:41,M0035,560.34,UPI,Lucknow,D00880,C03803,SUCCESS,0
TC4E095034ABD,2025-01-01 06:03:44,M0040,1129.58,UPI,Indore,D00661,C02678,SUCCESS,0
TCF2D3C28F622,2025-01-01 06:03:45,M0020,518.46,Wallet,Lucknow,D00894,C01852,SUCCESS,0
T261376661F9D,2025-01-01 06:03:45,M0021,4274.56,UPI,Hyderabad,D01478,C01120,SUCCESS,0
T48551F8286F8,2025-01-01 06:03:50,M0037,3024.14,UPI,Indore,D01271,C01130,SUCCESS,0
T1EFA437CAADA,2025-01-01 06:04:50,M0026,287.33,UPI,Jaipur,D03937,C03581,SUCCESS,0
T92F07AB44299,2025-01-01 06:05:17,M0052,2644.39,Net Banking,Delhi,D02449,C01066,SUCCESS,0
T2D071FDC3B9C,2025-01-01 06:05:40,M0047,2153.63,Credit Card,Bengaluru,D00079,C01985,SUCCESS,0
T48E02746E891,2025-01-01 06:06:02,M0053,3781.05,UPI,Pune,D00529,C00810,SUCCESS,0
TF4B3AA07961F,2025-01-01 06:06:55,M0022,1978.2,Wallet,Hyderabad,D01422,C02468,SUCCESS,0
TBA871550290E,2025-01-01 06:07:24,M0031,4612.95,UPI,Jaipur,D02562,C00778,SUCCESS,0
TEEC9007FAC32,2025-01-01 06:07:50,M0027,1237.92,UPI,Hyderabad,D04449,C01940,SUCCESS,0
TD51AC969448E,2025-01-01 06:07:52,M0001,2399.97,Debit Card,Surat,D04090,C01621,SUCCESS,0
TFF9FE5A025D4,2025-01-01 06:09:33,M0029,955.22,Credit Card,Chennai,D02632,C00421,SUCCESS,0
T234E0B4774CC,2025-01-01 06:09:49,M0008,378.62,Credit Card,Bengaluru,D03396,C03630,SUCCESS,0
T1A64D7298D86,2025-01-01 06:10:09,M0021,2735.15,Credit Card,Hyderabad,D02238,C00883,SUCCESS,0
T21A6DF9620A2,2025-01-01 06:10:15,M0014,335.05,Debit Card,Jaipur,D00748,C01926,FAILED,0
T6435EF2E6952,2025-01-01 06:11:44,M0059,3095.03,Debit Card,Chennai,D01947,C00202,SUCCESS,0
TDC89979B9EE3,2025-01-01 06:11:48,M0021,20.0,Debit Card,Hyderabad,D00449,C00032,SUCCESS,0
T207EC67176FB,2025-01-01 06:11:57,M0010,423.15,Credit Card,Delhi,D03036,C00283,SUCCESS,0
T629D4642169C,2025-01-01 06:12:13,M0023,366.06,Debit Card,Jaipur,D04154,C01575,SUCCESS,0
TD46D6AC64DA8,2025-01-01 06:12:17,M0029,1497.82,Credit Card,Pune,D00605,C00514,SUCCESS,0
T1354F6CAD3E8,2025-01-01 06:12:50,M0055,1443.52,UPI,Kolkata,D03103,C01439,SUCCESS,0
T13F6363AED4E,2025-01-01 06:12:51,M0034,1679.96,Net Banking,Ahmedabad,D02166,C02499,SUCCESS,0
T828015C1293D,2025-01-01 06:12:55,M0019,818.86,UPI,Mumbai,D01916,C01932,SUCCESS,0
T47F8C6D266FF,2025-01-01 06:13:07,M0052,3330.17,UPI,Delhi,D03786,C00418,SUCCESS,0
TDDBFCF3C8741,2025-01-01 06:13:51,M0021,1972.56,Debit Card,Hyderabad,D00408,C02761,SUCCESS,0
T9E98F1781B20,2025-01-01 06:14:25,M0026,553.34,UPI,Jaipur,D01328,C03346,SUCCESS,0
T2D780BCD800A,2025-01-01 06:14:30,M0055,2357.98,Debit Card,Kolkata,D02103,C03224,SUCCESS,0
T3228F3982B83,2025-01-01 06:15:21,M0031,6291.0,Net Banking,Jaipur,D03165,C02066,SUCCESS,0
TB3902C09B430,2025-01-01 06:15:28,M0039,2075.02,Debit Card,Mumbai,D04478,C02001,SUCCESS,0
TAEA34E2D33B3,2025-01-01 06:15:38,M0046,2115.3,Net Banking,Chennai,D01617,C01842,SUCCESS,0
T65CC53B801E0,2025-01-01 06:16:02,M0013,2000.19,UPI,Chandigarh,D02177,C03386,SUCCESS,0
TD1DC4ED740A4,2025-01-01 06:16:23,M0031,1635.12,Net Banking,Jaipur,D03684,C01016,SUCCESS,0
T1F7ABD9C23C5,2025-01-01 06:16:23,M0009,3030.41,UPI,Nagpur,D04474,C03277,SUCCESS,0
T44C1E0B559FE,2025-01-01 06:17:36,M0036,2813.49,UPI,Chennai,D03788,C02756,SUCCESS,0
TF6DC7A87CE6F,2025-01-01 06:18:01,M0001,211.46,UPI,Surat,D01867,C03167,SUCCESS,0
TD5D44DB98F96,2025-01-01 06:18:25,M0014,640.36,UPI,Jaipur,D02208,C02361,SUCCESS,0
T93E3ED83EED0,2025-01-01 06:18:27,M0020,283.89,UPI,Delhi,D03924,C03471,SUCCESS,0
T413D3FF85207,2025-01-01 06:18:30,M0007,3438.02,Debit Card,Hyderabad,D01865,C00914,SUCCESS,0
TBECF4B55CCAD,2025-01-01 06:18:38,M0052,3314.5,Debit Card,Delhi,D01821,C00536,FAILED,0
TE47A98B8A9D2,2025-01-01 06:19:03,M0052,4721.35,UPI,Delhi,D01094,C02611,SUCCESS,0
